Based: AGL For New Fonts
0xE1C0 fthoraDiatonicNiLowBelow
0xE1C1 fthoraDiatonicPaBelow
0xE1C2 fthoraDiatonicVouBelow
0xE1C3 fthoraDiatonicGaBelow
0xE1C4 fthoraDiatonicDiBelow
0xE1C5 fthoraDiatonicKeBelow
0xE1C6 fthoraDiatonicZoBelow
0xE1C7 fthoraDiatonicNiHighBelow
0xE1C8 fthoraHardChromaticPaBelow
0xE1C9 fthoraHardChromaticDiBelow
0xE1CA fthoraSoftChromaticDiBelow
0xE1CB fthoraSoftChromaticKeBelow
0xE1CC fthoraEnharmonicBelow
0xE1CD chroaZygosBelow
0xE1CE chroaKlitonBelow
0xE1CF chroaSpathiBelow
0xE1F0 diesis2
0xE1F1 diesis4
0xE1F2 diesis6
0xE1F3 diesis8
0xE1F4 diesisGenikiAbove
0xE1F5 diesisGenikiBelow
0xE200 yfesis2
0xE201 yfesis4
0xE202 yfesis6
0xE203 yfesis8
0xE204 yfesisGenikiAbove
0xE205 yfesisGenikiBelow
0xE210 barlineSingle
0xE211 barlineDouble
0xE212 barlineTheseos
0xE213 barlineShortSingle
0xE214 barlineShortDouble
0xE215 barlineShortTheseos
0xE220 measureNumber2
0xE221 measureNumber3
0xE222 measureNumber4
0xE223 measureNumber5
0xE224 measureNumber6
0xE225 measureNumber7
0xE226 measureNumber8
0xE250 noteIndicatorNi
0xE251 noteIndicatorPa
0xE252 noteIndicatorVou
0xE253 noteIndicatorGa
0xE254 noteIndicatorDi
0xE255 noteIndicatorKe
0xE256 noteIndicatorZo
0xE260 isonIndicatorUnison
0xE261 isonIndicatorDiLow
0xE262 isonIndicatorKeLow
0xE263 isonIndicatorZo
0xE264 isonIndicatorNi
0xE265 isonIndicatorPa
0xE266 isonIndicatorVou
0xE267 isonIndicatorGa
0xE268 isonIndicatorDi
0xE269 isonIndicatorKe
0xE26A isonIndicatorZoHigh
0xE280 gorthmikon
0xE281 pelastikon
0xE2A0 modeFirst
0xE2A8 modeSecond
0xE2B0 modeThird
0xE2B1 modeThirdNana
0xE2B8 modeFourth
0xE2BA modeLegetos
0xE2C0 modePlagalFirst
0xE2C8 modePlagalSecond
0xE2D0 modeVarys
0xE2D1 modeVarys2
0xE2D8 modePlagalFourth
0xE2E0 modeNi
0xE2E1 modePa
0xE2E2 modeVou
0xE2E3 modeGa
0xE2E4 modeDi
0xE2E5 modeKe
0xE2E6 modeZo
0xE2E7 modeOligonKentimaAbove
0xE2E8 modeOligonYpsili
0xE2E9 modeElafron
0xE2EA modeRunningElafron
0xE2F0 modePlagal
0xE2F1 modeWordEchos
0xE2F2 modeWordVarys
0xE2F3 modeAlpha
0xE2F4 modeBeta
0xE2F5 modeGamma
0xE2F6 modeDelta
0xE2F7 modeAlphaCapital
0xE2F8 modeBetaCapital
0xE2F9 modeGammaCapital
0xE2FA modeDeltaCapital
0xF000 oligonKentimataBelow.alt01
0xF001 oligonKentimataAbove.alt01
0xF002 antikenoma.alt01
0xF003 modeFirst.salt01
0xF004 modeFourth.salt01
0xF005 oligonKentimataBelow.alt02
